8.63,-3.14,3.73,0.00,-0.03,0.00
892108,8.61,-3.15,3.73,-0.00,-0.03,0.00
892121,8.61,-3.11,3.75,0.00,-0.03,0.00
892134,8.60,-3.05,3.74,0.01,-0.03,0.00
892147,8.60,-3.10,3.72,-0.00,-0.04,0.02
892160,8.61,-3.17,3.69,-0.02,-0.04,0.02
892173,8.62,-3.23,3.67,-0.03,-0.04,0.02
892186,8.63,-3.26,3.68,-0.02,-0.04,0.01
892199,8.63,-3.24,3.67,-0.02,-0.04,0.01
892212,8.64,-3.22,3.63,-0.01,-0.03,0.00
892225,8.63,-3.22,3.69,0.02,-0.02,-0.01
892238,8.62,-3.18,3.73,0.03,-0.02,-0.02
892251,8.61,-3.09,3.74,0.03,-0.02,-0.02
892264,8.58,-2.91,3.79,0.01,-0.03,0.00
892277,8.60,-2.99,3.77,-0.02,-0.04,0.02
892290,8.61,-3.11,3.71,-0.04,-0.05,0.03
892303,8.63,-3.23,3.65,-0.03,-0.04,0.03
892316,8.63,-3.22,3.65,-0.02,-0.04,0.03
892329,8.63,-3.20,3.69,-0.01,-0.04,0.03
892342,8.63,-3.23,3.69,-0.04,-0.04,0.01
892355,8.64,-3.20,3.65,-0.05,-0.04,0.01
892368,8.63,-3.21,3.65,-0.04,-0.04,0.00
892381,8.61,-3.20,3.65,-0.01,-0.03,0.00
892394,8.61,-3.15,3.66,0.00,-0.03,0.01
892407,8.60,-3.15,3.70,-0.00,-0.03,0.01
892420,8.62,-3.25,3.69,-0.01,-0.03,0.02
892433,8.64,-3.29,3.68,-0.01,-0.03,0.01
892446,8.63,-3.31,3.67,-0.01,-0.03,0.00
892459,8.63,-3.29,3.63,-0.00,-0.03,-0.01
892472,8.63,-3.26,3.66,0.03,-0.02,-0.02
892485,8.62,-3.20,3.69,0.04,-0.02,-0.02
892498,8.62,-3.12,3.72,0.04,-0.02,-0.02
892511,8.61,-2.94,3.77,0.02,-0.03,-0.02
892524,8.60,-2.91,3.77,0.00,-0.03,-0.00
892537,8.59,-2.98,3.76,-0.01,-0.04,0.02
892550,8.59,-3.08,3.71,-0.02,-0.04,0.05
892563,8.60,-3.14,3.75,-0.02,-0.05,0.05
892576,8.62,-3.23,3.71,-0.03,-0.05,0.06
892589,8.64,-3.33,3.61,-0.05,-0.05,0.04
892602,8.64,-3.41,3.60,-0.03,-0.05,0.03
892615,8.65,-3.42,3.55,-0.01,-0.04,0.02
892628,8.61,-3.23,3.64,0.05,-0.02,0.00
892641,8.60,-3.13,3.70,0.06,-0.01,0.01
892654,8.60,-3.09,3.75,0.05,-0.02,0.01
892667,8.61,-3.13,3.75,-0.00,-0.04,0.02
892680,8.60,-3.25,3.74,-0.01,-0.05,0.02
892693,8.61,-3.35,3.64,-0.02,-0.05,0.02
892706,8.65,-3.44,3.53,-0.02,-0.05,-0.01
892719,8.65,-3.43,3.57,0.02,-0.02,-0.02
892732,8.64,-3.37,3.60,0.03,-0.01,-0.04
892745,8.62,-3.08,3.74,0.04,-0.01,-0.05
892758,8.59,-3.04,3.83,0.03,-0.01,-0.04
892771,8.57,-2.94,3.84,0.02,-0.02,-0.03
892784,8.57,-2.89,3.85,0.01,-0.03,-0.01
892797,8.60,-2.96,3.72,-0.02,-0.05,0.03
892810,8.62,-3.02,3.65,-0.04,-0.06,0.04
892823,8.63,-3.10,3.62,-0.05,-0.06,0.05
892836,8.62,-3.16,3.63,-0.03,-0.05,0.07
892849,8.61,-3.20,3.67,-0.03,-0.05,0.07
892862,8.62,-3.27,3.68,-0.02,-0.05,0.07
892875,8.61,-3.38,3.72,-0.01,-0.05,0.06
892888,8.61,-3.43,3.71,-0.01,-0.05,0.05
892901,8.61,-3.40,3.65,-0.00,-0.05,0.04
892914,8.63,-3.37,3.53,0.00,-0.05,0.02
892927,8.64,-3.40,3.49,0.00,-0.04,0.01
892940,8.65,-3.37,3.47,0.01,-0.02,-0.00
892953,8.63,-3.36,3.60,0.05,0.00,-0.02
892966,8.62,-3.34,3.67,0.06,0.01,-0.02
892979,8.59,-3.30,3.78,0.07,0.01,-0.03
892992,8.58,-3.08,3.83,0.06,-0.01,-0.04
893005,8.57,-2.97,3.81,0.02,-0.03,-0.03
893018,8.60,-2.99,3.73,-0.01,-0.04,-0.02
893031,8.60,-3.12,3.59,-0.03,-0.04,-0.00
893044,8.62,-3.18,3.61,-0.01,-0.03,0.02
893057,8.60,-3.19,3.68,0.02,-0.02,0.03
893070,8.60,-3.20,3.72,0.03,-0.03,0.03
893083,8.62,-3.40,3.64,-0.01,-0.04,0.03
893096,8.65,-3.57,3.53,-0.02,-0.04,0.01
893109,8.66,-3.72,3.43,-0.00,-0.02,-0.02
893122,8.64,-3.58,3.52,0.09,0.02,-0.08
893135,8.60,-3.33,3.68,0.12,0.04,-0.10
893148,8.59,-3.11,3.83,0.12,0.04,-0.11
893161,8.57,-2.78,3.89,0.05,0.01,-0.09
