,8.79,-5.13,3.20,0.17,0.05,0.08
110399,8.60,-4.23,2.66,0.15,-0.01,0.04
110412,8.18,-4.56,2.15,-0.10,-0.11,0.02
110425,8.31,-4.48,1.70,-0.08,-0.14,0.11
110438,8.21,-4.96,2.16,-0.04,-0.07,0.15
110451,8.09,-5.23,2.43,0.01,-0.04,0.17
110464,8.16,-5.42,2.27,0.07,-0.02,0.14
110477,8.11,-5.39,2.43,0.04,0.01,0.11
110490,8.10,-5.33,2.52,0.01,0.02,0.08
110503,8.11,-5.33,2.31,-0.04,0.02,0.03
110516,8.12,-5.42,2.28,-0.03,0.05,0.02
110529,8.12,-5.27,2.50,0.03,0.07,-0.00
110542,8.00,-4.94,2.80,0.18,0.08,0.00
110555,8.01,-4.86,2.82,0.18,0.07,0.01
110568,8.02,-4.74,2.91,0.14,0.06,0.02
110581,8.01,-4.97,2.89,0.07,0.02,0.05
110594,7.99,-5.02,2.97,0.08,0.00,0.06
110607,7.98,-5.12,2.96,0.06,-0.02,0.06
110620,8.03,-5.01,2.87,0.01,-0.05,0.05
110633,8.01,-5.05,2.74,-0.01,-0.06,0.05
110646,8.04,-5.08,2.62,0.00,-0.06,0.05
110659,8.00,-4.86,2.83,0.06,-0.05,0.07
110672,8.01,-4.99,2.75,0.02,-0.06,0.08
110685,8.01,-5.06,2.71,-0.03,-0.07,0.08
110698,8.04,-5.27,2.54,-0.07,-0.07,0.07
110711,8.07,-5.31,2.37,-0.09,-0.06,0.06
110724,8.07,-5.31,2.40,-0.05,-0.04,0.05
110737,8.03,-5.21,2.56,-0.00,-0.01,0.05
110750,8.00,-5.09,2.71,0.06,0.02,0.04
110763,7.99,-5.11,2.77,0.06,0.01,0.05
110776,7.97,-5.14,2.80,0.03,0.01,0.05
110789,8.02,-5.26,2.58,-0.07,-0.01,0.03
110802,8.04,-5.39,2.49,-0.08,-0.00,0.01
110815,8.00,-5.33,2.71,-0.04,0.01,0.00
110828,7.95,-5.04,2.89,-0.01,0.00,-0.01
110841,7.96,-4.90,2.82,-0.05,-0.01,-0.01
110854,7.98,-5.01,2.67,-0.10,-0.03,0.00
110867,8.03,-5.35,2.48,-0.08,-0.01,0.01
110880,8.03,-5.36,2.54,-0.00,0.01,0.01
110893,8.00,-5.29,2.71,0.06,0.03,0.01
110906,7.94,-4.97,2.94,0.05,0.01,-0.00
110919,7.93,-4.94,2.96,-0.01,-0.01,0.00
110932,7.94,-4.96,2.92,-0.05,-0.03,0.01
110945,7.99,-5.20,2.65,-0.12,-0.05,0.02
110958,7.99,-5.31,2.61,-0.10,-0.05,0.02
110971,7.98,-5.22,2.66,-0.06,-0.04,0.02
110984,7.95,-4.99,2.76,-0.02,-0.04,0.03
110997,7.96,-4.99,2.69,-0.06,-0.04,0.04
111010,7.97,-5.06,2.67,-0.10,-0.05,0.05
111023,7.94,-5.06,2.74,-0.12,-0.05,0.06
111036,7.97,-5.19,2.62,-0.13,-0.07,0.08
111049,7.99,-5.24,2.58,-0.13,-0.06,0.08
111062,7.97,-5.25,2.62,-0.14,-0.06,0.08
111075,7.97,-5.44,2.53,-0.15,-0.06,0.06
111088,8.00,-5.47,2.40,-0.13,-0.05,0.05
111101,7.99,-5.55,2.41,-0.10,-0.03,0.03
111114,7.94,-5.14,2.64,0.04,-0.00,0.03
111127,7.89,-4.97,2.83,0.07,-0.00,0.04
111140,7.87,-4.93,2.93,0.04,-0.02,0.06
111153,7.91,-5.24,2.70,-0.11,-0.07,0.08
111166,7.93,-5.52,2.65,-0.13,-0.08,0.08
111179,7.94,-5.71,2.67,-0.11,-0.09,0.06
111192,7.96,-5.58,2.44,-0.02,-0.09,0.01
111205,7.98,-5.53,2.36,-0.00,-0.08,-0.01
111218,7.98,-5.41,2.36,0.01,-0.07,-0.02
111231,8.06,-5.30,2.43,0.09,-0.04,-0.02
111244,8.02,-5.22,2.50,0.11,-0.02,-0.02
111257,8.20,-5.10,2.51,0.13,-0.02,-0.02
111270,8.09,-5.21,2.78,0.06,-0.03,-0.08
111283,8.19,-5.11,2.57,0.08,-0.02,-0.10
111296,8.24,-4.63,2.38,0.03,0.01,-0.13
111309,7.76,-5.19,2.49,-0.12,0.03,-0.13
111322,7.67,-5.23,2.69,-0.27,0.03,-0.10
111335,7.65,-5.77,2.79,-0.27,-0.01,-0.05
111348,7.70,-5.94,2.52,-0.13,-0.06,-0.02
111361,7.78,-5.21,2.73,0.14,-0.09,0.02
111374,7.70,-4.94,2.78,0.16,-0.12,0.06
111387,7.80,-4.89,2.68,0.07,-0.14,0.09
111400,8.08,-5.24,2.34,-0.22,-0.12,0.04
111413,8.14,-5.44,2.37,-0.24,-0.09,0.02
111426,8.03,-5.62,2.39,-0.14,-0.07,0.03
111439,7.86,-5.43,2.48,0.07,-0.10,0.06
111452,7.89,-5.14,2.41,0.08,-0.12,0.07
111465,7.95,-5.09,2.40,-0.00,-0.12,0.06
111478,8.23,-5.16,2.34,-0.09,-0.05,-0.00
111491,8.02,-5.27,2.56,-0.06,-0.01,-0.01
111504,7.95,-5.40,2.51,-0.02,-0.02,-0.00
111517,7.97,-5.21,2.45,-0.01,-0.02,-0.01
111530,7.95,-5.28,2.53,-0.02,-0.02,-0.00
111543,8.00,-5.39,2.53,-0.03,-0.03,-0.00
111556,7.97,-5.28,2.37,-0.00,-0.03,-0.01
111569,7.94,-5.20,2.46,0.02,-0.02,-0.01
111582,7.95,-5.13,2.52,0.03,-0.02,0.00
111595,8.00,-5.31,2.38,0.02,-0.03,0.02
111608,8.00,-5.42,2.39,-0.00,-0.03,0.01
111621,8.01,-5.54,2.41,0.02,-0.02,0.01
111634,7.98,-5.39,2.43,0.07,-0.01,0.00
111647,7.83,-5.17,2.46,0.15,-0.01,-0.00
111660,7.95,-5.20,2.55,0.15,-0.01,0.02
111673,8.01,-5.27,2.64,0.11,-0.02,0.02
111686,7.93,-5.16,2.68,0.00,-0.04,-0.01
111699,7.95,-5.22,2.50,-0.04,-0.05,-0.01
111712,7.97,-5.34,2.45,-0.05,-0.05,-0.01
111725,7.96,-5.28,2.55,-0.01,-0.05,-0.01
111738,7.96,-5.16,2.53,0.00,-0.05,-0.01
111751,7.98,-5.15,2.46,-0.01,-0.06,0.00
111764,7.98,-5.26,2.49,-0.03,-0.05,0.01
111777,7.98,-5.35,2.46,-0.03,-0.05,0.01
111790,7.98,-5.31,2.39,-0.00,-0.05,0.01
111803,7.98,-5.27,2.41,0.01,-0.04,0.01
111816,7.96,-5.23,2.45,0.01,-0.04,0.01
111829,7.95,-5.25,2.48,0.01,-0.04,0.02
111842,7.97,-5.26,2.43,0.02,-0.04,0.03
111855,7.98,-5.31,2.46,0.01,-0.04,0.03
111868,7.97,-5.37,2.45,0.01,-0.03,0.03
111881,7.98,-5.36,2.42,0.00,-0.03,0.01
111894,7.98,-5.36,2.43,0.02,-0.03,0.01
111907,7.97,-5.33,2.45,0.03,-0.02,0.01
111920,7.98,-5.33,2.41,0.03,-0.02,0.00
111933,7.98,-5.38,2.39,0.03,-0.02,0.00
111946,7.99,-5.43,2.40,0.05,-0.01,-0.00
111959,7.99,-5.48,2.43,0.09,-0.00,-0.01
111972,7.95,-5.37,2.50,0.14,0.01,-0.03
111985,7.95,-5.10,2.57,0.14,0.01,-0.03
111998,7.95,-5.11,2.61,0.12,0.01,-0.02
112011,7.95,-5.15,2.59,0.08,0.00,-0.01
112024,7.95,-5.19,2.67,0.05,-0.00,-0.01
112037,7.94,-5.17,2.67,0.04,-0.01,-0.00
112050,7.97,-5.19,2.50,-0.03,-0.04,0.00
112063,8.01,-5.54,2.38,-0.06,-0.04,0.00
112076,7.84,-5.64,2.27,-0.03,-0.02,-0.01
112089,7.70,-5.46,2.63,0.23,-0.04,0.11
112102,7.72,-5.41,2.62,0.33,-0.10,0.18
112115,7.83,-5.32,2.88,0.30,-0.15,0.20
112128,8.15,-4.85,2.46,0.12,-0.19,0.14
112141,8.29,-5.07,2.55,0.02,-0.14,0.11
112154,8.33,-5.15,2.51,-0.03,-0.08,0.06
112167,7.95,-5.47,2.66,0.01,-0.04,0.03
112180,7.87,-5.52,2.75,0.04,-0.07,0.02
112193,7.85,-5.44,2.66,0.04,-0.10,0.01
112206,7.90,-5.28,2.52,0.03,-0.12,0.01
112219,8.03,-5.37,2.43,-0.02,-0.11,0.00
112232,8.04,-5.35,2.42,-0.01,-0.08,-0.01
112245,7.98,-5.31,2.41,0.02,-0.05,-0.02
112258,7.95,-5.27,2.42,0.05,-0.03,-0.01
112271,7.95,-5.20,2.47,0.06,-0.02,-0.01
112284,7.91,-5.25,2.60,0.05,-0.02,-0.00
112297,7.96,-5.25,2.50,0.03,-0.02,0.00
112310,7.94,-5.21,2.58,0.02,-0.02,0.01
112323,7.93,-5.23,2.56,0.02,-0.02,0.01
112336,7.95,-5.32,2.50,0.00,-0.03,0.01
112349,7.95,-5.42,2.48,0.01,-0.02,0.01
112362,7.94,-5.35,2.57,0.03,-0.02,0.01
112375,7.93,-5.16,2.62,0.04,-0.03,0.01
112388,7.91,-5.18,2.63,0.01,-0.04,0.02
112401,7.94,-5.31,2.53,-0.03,-0.04,0.02
112414,7.96,-5.51,2.45,-0.01,-0.03,0.00
112427,7.93,-5.34,2.57,0.05,-0.02,-0.00
112440,7.91,-5.22,2.61,0.07,-0.03,-0.00
112453,7.95,-5.27,2.53,-0.02,-0.04,-0.00
112466,7.93,-5.27,2.54,-0.03,-0.04,-0.01
112479,7.94,-5.32,2.53,-0.01,-0.04,0.00
112492,7.96,-5.32,2.45,0.01,-0.03,-0.00
112505,7.93,-5.23,2.53,0.01,-0.02,-0.00
112518,7.93,-5.19,2.56,0.01,-0.02,0.00
112531,7.93,-5.39,2.48,0.00,-0.02,0.01
112544,7.95,-5.42,2.51,0.02,-0.01,0.01
112557,7.93,-5.41,2.58,0.04,-0.01,-0.00
112570,7.93,-5.32,2.57,0.05,-0.01,-0.01
112583,7.93,-5.25,2.63,0.05,-0.02,-0.01
112596,7.93,-5.28,2.59,0.03,-0.02,-0.01
