,-2.27,4.24,0.01,0.11,-0.83
328112,8.80,-1.26,3.29,-0.01,-0.01,-0.69
328125,8.82,-1.59,3.33,-0.06,-0.02,-0.59
328138,8.84,-0.76,3.16,-0.04,-0.01,-0.50
328151,9.00,-1.32,2.49,-0.50,0.01,-0.29
328164,8.85,-2.43,3.76,-0.56,0.06,-0.20
328177,8.96,-1.99,3.06,-0.38,0.04,-0.14
328190,8.96,-2.14,2.99,0.07,0.13,-0.01
328203,8.96,-1.65,2.88,0.23,0.17,0.06
328216,8.89,-1.45,3.19,0.21,0.21,0.12
328229,8.78,-1.74,3.27,-0.05,0.21,0.25
328242,8.87,-2.23,3.02,-0.17,0.22,0.30
328255,9.27,-2.20,1.81,-0.29,0.25,0.31
328268,8.81,-2.84,2.93,-0.51,0.41,0.30
328281,8.73,-3.27,3.79,-0.45,0.44,0.30
328294,8.51,-3.26,4.53,-0.26,0.42,0.30
328307,8.68,-3.27,4.07,-0.08,0.36,0.30
328320,8.60,-3.28,4.20,-0.17,0.28,0.24
328333,8.52,-3.46,4.35,-0.25,0.24,0.20
328346,8.56,-3.75,4.38,-0.30,0.18,0.15
328359,8.51,-3.29,4.66,-0.17,0.09,0.07
328372,8.51,-2.95,4.63,-0.19,0.02,0.05
328385,8.47,-2.79,4.49,-0.31,-0.06,0.04
328398,8.51,-3.16,4.47,-0.41,-0.18,0.04
328411,8.57,-3.21,4.19,-0.35,-0.24,0.04
328424,8.62,-3.26,3.92,-0.25,-0.28,0.04
328437,8.69,-3.28,3.65,0.02,-0.31,0.05
328450,8.70,-3.20,3.61,0.06,-0.32,0.04
328463,8.71,-2.99,3.56,0.06,-0.33,0.03
328476,8.70,-2.97,3.35,-0.05,-0.35,0.04
328489,8.77,-3.02,3.05,-0.13,-0.34,0.03
328502,8.82,-3.26,2.88,-0.20,-0.32,0.03
328515,8.82,-3.38,2.83,-0.20,-0.24,0.00
328528,8.86,-3.40,2.81,-0.15,-0.20,-0.00
328541,8.87,-3.30,2.74,-0.07,-0.16,-0.01
328554,8.84,-3.05,2.85,0.02,-0.08,-0.02
328567,8.81,-2.90,2.98,0.03,-0.05,-0.01
328580,8.81,-2.96,2.99,0.00,-0.03,0.00
328593,8.82,-3.39,3.05,-0.02,-0.00,0.01
328606,8.81,-3.55,3.16,-0.03,0.04,-0.01
328619,8.78,-3.51,3.30,-0.02,0.05,-0.04
328632,8.75,-3.42,3.71,-0.02,0.05,-0.07
328645,8.69,-3.13,3.79,-0.10,0.00,-0.12
328658,8.70,-3.17,3.71,-0.16,-0.04,-0.13
328671,8.74,-3.14,3.48,-0.20,-0.07,-0.14
328684,8.79,-3.01,3.25,-0.21,-0.09,-0.14
328697,8.81,-3.06,3.19,-0.19,-0.09,-0.13
328710,8.85,-3.11,3.00,-0.18,-0.09,-0.13
328723,8.86,-3.22,3.00,-0.15,-0.04,-0.14
328736,8.86,-3.13,3.00,-0.10,-0.02,-0.14
328749,8.85,-3.00,2.93,-0.06,0.00,-0.14
328762,8.84,-2.68,3.00,-0.04,0.05,-0.11
328775,8.85,-2.81,3.06,-0.06,0.07,-0.08
328788,8.84,-2.80,3.09,-0.03,0.09,-0.06
328801,8.79,-2.23,3.15,0.02,0.11,-0.01
328814,8.77,-2.33,3.37,-0.01,0.11,0.04
328827,8.77,-2.83,3.50,-0.05,0.10,0.08
328840,8.79,-3.35,3.38,-0.02,0.09,0.09
328853,8.79,-3.32,3.35,0.05,0.09,0.08
328866,8.78,-3.10,3.35,0.09,0.09,0.07
328879,8.73,-2.81,3.48,0.06,0.09,0.07
328892,8.76,-2.87,3.35,-0.14,0.06,0.07
328905,8.76,-3.03,3.27,-0.21,0.06,0.07
328918,8.78,-3.68,3.41,-0.23,0.07,0.07
328931,8.73,-3.60,3.48,-0.08,0.07,0.01
328944,8.75,-3.52,3.48,-0.02,0.07,-0.02
328957,8.74,-3.46,3.47,0.03,0.06,-0.04
328970,8.72,-3.54,3.62,0.04,0.04,-0.10
328983,8.71,-3.44,3.67,0.05,0.02,-0.14
328996,8.70,-3.29,3.67,0.05,0.01,-0.16
329009,8.71,-3.01,3.63,-0.01,-0.03,-0.20
329022,8.71,-2.90,3.62,-0.04,-0.04,-0.20
329035,8.73,-2.83,3.56,-0.05,-0.06,-0.19
329048,8.78,-2.82,3.38,-0.06,-0.08,-0.17
329061,8.79,-2.87,3.38,-0.05,-0.07,-0.15
329074,8.80,-2.80,3.35,-0.02,-0.07,-0.14
329087,8.82,-2.73,3.23,0.03,-0.06,-0.11
329100,8.83,-2.73,3.21,0.03,-0.05,-0.09
329113,8.81,-2.75,3.29,0.03,-0.04,-0.08
329126,8.82,-2.79,3.31,0.01,-0.02,-0.06
329139,8.84,-2.74,3.22,-0.01,-0.02,-0.05
329152,8.84,-2.71,3.21,-0.03,-0.01,-0.04
329165,8.85,-2.82,3.16,-0.03,0.03,-0.01
329178,8.84,-2.76,3.19,0.02,0.05,0.00
329191,8.82,-2.67,3.33,0.04,0.06,0.02
329204,8.82,-2.82,3.37,0.02,0.07,0.03
329217,8.78,-2.88,3.49,-0.00,0.08,0.04
329230,8.76,-2.85,3.60,0.02,0.07,0.05
329243,8.73,-2.80,3.84,0.04,0.06,0.05
329256,8.71,-3.05,3.85,-0.01,0.01,0.05
329269,8.75,-3.27,3.74,-0.05,-0.02,0.04
329282,8.75,-3.49,3.69,-0.07,-0.04,0.00
329295,8.78,-3.46,3.60,-0.04,-0.07,-0.08
329308,8.79,-3.33,3.48,-0.03,-0.08,-0.12
329321,8.82,-3.38,3.41,-0.01,-0.08,-0.15
329334,8.80,-3.12,3.53,0.13,-0.07,-0.20
329347,8.80,-2.99,3.56,0.17,-0.08,-0.21
329360,8.80,-2.83,3.60,0.17,-0.09,-0.23
329373,8.81,-2.57,3.49,0.08,-0.11,-0.24
329386,8.82,-2.38,3.51,0.05,-0.12,-0.23
329399,8.82,-2.30,3.46,0.04,-0.12,-0.20
329412,8.81,-2.15,3.61,0.06,-0.13,-0.13
329425,8.80,-2.18,3.76,0.10,-0.15,-0.08
329438,8.79,-2.34,3.77,0.14,-0.17,-0.04
329451,8.87,-2.69,3.54,0.15,-0.22,-0.01
329464,8.88,-2.74,3.52,0.14,-0.23,-0.01
329477,8.89,-2.73,3.45,0.11,-0.25,-0.02
329490,8.90,-2.52,3.32,0.06,-0.25,-0.05
