7,-1.81,1.76,-0.09,-0.10,0.27
349552,9.34,-1.95,1.57,-0.12,-0.09,0.32
349565,9.34,-2.18,1.50,-0.12,-0.06,0.37
349578,9.36,-2.78,1.51,-0.10,-0.02,0.41
349591,9.33,-3.03,1.56,-0.05,0.04,0.42
349604,9.32,-3.28,1.58,-0.02,0.07,0.40
349617,9.33,-3.44,1.65,-0.01,0.10,0.37
349630,9.26,-3.52,1.77,-0.00,0.16,0.27
349643,9.30,-3.63,1.88,0.00,0.17,0.23
349656,9.25,-3.59,1.89,0.05,0.19,0.18
349669,9.20,-3.39,2.29,0.12,0.20,0.09
349682,9.18,-3.13,2.23,0.16,0.19,0.06
349695,9.12,-3.04,2.42,0.18,0.18,0.04
349708,9.06,-2.69,2.73,0.15,0.12,0.04
349721,9.03,-2.65,2.78,0.07,0.07,0.04
349734,9.05,-2.79,2.80,-0.02,0.02,0.05
349747,9.13,-3.05,2.50,-0.08,-0.07,0.05
349760,9.09,-3.10,2.43,-0.06,-0.09,0.05
349773,9.15,-3.08,2.36,-0.03,-0.11,0.04
349786,9.17,-3.00,2.21,0.01,-0.13,0.03
349799,9.17,-3.02,2.14,0.03,-0.14,0.02
349812,9.15,-3.03,2.18,0.05,-0.14,0.02
349825,9.17,-3.00,2.11,0.01,-0.14,0.01
349838,9.18,-2.99,2.15,-0.00,-0.14,0.00
349851,9.18,-3.07,2.11,-0.02,-0.15,0.00
349864,9.24,-3.16,1.85,-0.02,-0.15,-0.02
349877,9.21,-3.06,1.91,0.03,-0.13,-0.03
349890,9.23,-3.05,1.83,0.03,-0.11,-0.04
349903,9.23,-3.06,1.94,0.03,-0.10,-0.05
349916,9.22,-3.04,1.95,-0.00,-0.08,-0.07
349929,9.20,-2.93,2.04,0.00,-0.07,-0.08
349942,9.22,-2.83,2.00,0.01,-0.07,-0.08
349955,9.20,-2.93,2.06,0.03,-0.07,-0.07
349968,9.20,-2.78,2.11,0.05,-0.07,-0.07
349981,9.17,-2.73,2.14,0.07,-0.08,-0.06
349994,9.19,-2.79,2.11,0.06,-0.10,-0.04
350007,9.22,-2.73,2.03,0.04,-0.10,-0.03
350020,9.23,-2.80,1.97,0.02,-0.11,-0.02
350033,9.29,-2.93,1.62,0.02,-0.09,-0.03
350046,9.31,-2.90,1.57,0.04,-0.06,-0.03
350059,9.30,-2.82,1.64,0.05,-0.03,-0.03
350072,9.22,-2.55,1.93,0.03,0.01,-0.01
350085,9.22,-2.67,2.01,0.00,0.01,0.01
350098,9.22,-2.76,2.03,-0.01,0.01,0.02
350111,9.20,-2.78,2.10,0.06,0.00,0.05
350124,9.20,-2.79,2.11,0.09,-0.00,0.06
350137,9.19,-2.80,2.13,0.11,-0.01,0.07
350150,9.22,-3.13,2.08,0.10,-0.03,0.06
350163,9.23,-3.11,2.02,0.09,-0.04,0.04
350176,9.22,-3.06,2.01,0.11,-0.04,0.02
350189,9.24,-3.06,2.03,0.13,-0.04,0.01
350202,9.21,-3.07,2.16,0.16,-0.04,-0.01
350215,9.20,-3.04,2.25,0.12,-0.05,-0.03
350228,9.19,-3.09,2.23,0.06,-0.07,-0.06
350241,9.24,-3.32,2.02,-0.03,-0.10,-0.12
350254,9.25,-3.35,1.99,-0.03,-0.10,-0.15
350267,9.25,-3.24,1.98,-0.02,-0.09,-0.19
350280,9.25,-2.89,2.02,0.01,-0.09,-0.23
350293,9.23,-2.68,2.13,0.02,-0.10,-0.24
350306,9.22,-2.51,2.17,0.02,-0.11,-0.24
350319,9.24,-2.37,2.10,-0.00,-0.14,-0.20
350332,9.27,-2.33,1.92,-0.00,-0.15,-0.18
350345,9.30,-2.30,1.79,0.01,-0.15,-0.15
350358,9.31,-2.36,1.79,0.04,-0.12,-0.09
350371,9.33,-2.45,1.75,0.02,-0.11,-0.07
350384,9.35,-2.59,1.65,-0.00,-0.10,-0.07
350397,9.39,-2.71,1.57,0.00,-0.06,-0.07
350410,9.36,-2.66,1.68,0.02,-0.03,-0.07
350423,9.36,-2.65,1.68,0.02,-0.01,-0.08
350436,9.35,-2.62,1.79,0.02,0.02,-0.09
350449,9.33,-2.61,1.90,0.03,0.03,-0.09
350462,9.33,-2.53,1.93,0.03,0.03,-0.09
350475,9.30,-2.41,1.99,0.01,0.03,-0.09
350488,9.32,-2.48,1.96,-0.05,0.01,-0.08
350501,9.34,-2.55,1.89,-0.06,0.01,-0.08
350514,9.34,-2.59,1.91,-0.05,0.02,-0.08
350527,9.33,-2.42,1.92,-0.05,0.03,-0.08
350540,9.33,-2.25,1.92,-0.06,0.03,-0.07
350553,9.32,-2.12,1.93,-0.07,0.03,-0.05
350566,9.34,-1.95,1.80,-0.07,0.04,0.01
350579,9.33,-1.98,1.86,-0.06,0.05,0.06
350592,9.31,-2.03,1.94,-0.05,0.06,0.10
350605,9.28,-2.30,2.13,-0.04,0.06,0.17
350618,9.29,-2.50,2.15,-0.05,0.05,0.19
350631,9.28,-2.68,2.12,-0.05,0.04,0.19
350644,9.29,-2.91,2.07,-0.05,0.02,0.17
350657,9.29,-2.93,2.09,-0.05,0.02,0.15
350670,9.27,-2.96,2.13,-0.04,0.01,0.13
350683,9.26,-2.87,2.22,-0.02,-0.00,0.09
350696,9.24,-2.73,2.29,-0.02,-0.02,0.08
350709,9.23,-2.68,2.22,-0.05,-0.04,0.07
350722,9.29,-2.88,1.95,-0.12,-0.06,0.05
350735,9.32,-2.99,1.81,-0.11,-0.06,0.03
350748,9.32,-2.98,1.74,-0.07,-0.04,0.02
350761,9.30,-2.57,1.78,-0.02,-0.02,-0.00
350774,9.29,-2.36,1.86,0.00,0.02,0.01
350787,9.27,-2.28,1.87,-0.01,0.03,0.04
350800,9.27,-2.34,1.88,-0.01,0.04,0.07
350813,9.28,-2.50,1.94,0.02,0.07,0.13
350826,9.25,-2.51,1.96,0.05,0.08,0.15
350839,9.24,-2.56,1.97,0.07,0.08,0.17
350852,9.21,-2.62,2.14,0.13,0.09,0.21
350865,9.20,-2.62,2.19,0.14,0.09,0.22
350878,9.18,-2.73,2.27,0.15,0.08,0.24
350891,9.14,-3.07,2.51,0.11,0.05,0.24
350904,9.14,-3.07,2.66,0.08,0.02,0.22
350917,9.06,-3.17,2.78,0.05,-0.02,0.20
350930,9.08,-3.27,2.71,-0.06,-0.12,0.15
350943,9.13,-3.43,2.50,-0.09,-0.16,0.11
350956,9.20,-3.51,2.29,-0.07,-0.19,0.08
350969,9.19,-3.29,2.13,0.01,-0.20,0.02
350982,9.21,-3.22,1.98,0.01,-0.20,-0.01
350995,9.22,-3.14,1.99,-0.01,-0.20,-0.03
351008,9.21,-3.09,1.95,-0.07,-0.19,-0.07
351021,9.20,-3.07,2.02,-0.09,-0.19,-0.08
351034,9.21,-2.98,1.95,-0.10,-0.19,-0.09
351047,9.23,-2.71,1.84,-0.10,-0.19,-0.08
351060,9.25,-2.74,1.73,-0.04,-0.18,-0.06
351073,9.25,-2.73,1.70,0.00,-0.16,-0.04
351086,9.27,-2.80,1.77,0.03,-0.14,-0.03
351099,9.26,-2.86,1.74,0.06,-0.12,-0.00
351112,9.26,-2.79,1.75,0.07,-0.10,0.00
351125,9.26,-2.69,1.74,0.08,-0.09,0.01
351138,9.28,-2.84,1.61,0.03,-0.07,0.04
351151,9.28,-2.98,1.57,0.00,-0.05,0.04
351164,9.30,-2.98,1.53,0.01,-0.03,0.04
351177,9.28,-2.96,1.64,0.08,0.02,0.04
351190,9.27,-2.85,1.67,0.14,0.04,0.05
351203,9.26,-2.73,1.66,0.18,0.07,0.06
351216,9.21,-2.79,1.96,0.14,0.09,0.08
351229,9.18,-2.81,2.17,0.10,0.09,0.09
351242,9.15,-2.85,2.29,0.05,0.07,0.09
