,9.17,-1.74,3.03,-0.04,-0.05,0.07
748695,9.17,-1.93,2.94,-0.07,-0.06,0.10
748708,9.22,-2.18,2.83,-0.08,-0.07,0.11
748721,9.25,-2.61,2.70,-0.07,-0.07,0.09
748734,9.26,-2.64,2.65,-0.04,-0.06,0.06
748747,9.26,-2.60,2.65,-0.01,-0.05,0.03
748760,9.28,-2.48,2.65,0.03,-0.02,-0.03
748773,9.26,-2.30,2.71,0.04,-0.01,-0.06
748786,9.25,-2.06,2.80,0.06,0.00,-0.08
748799,9.21,-1.68,2.90,0.08,0.00,-0.06
748812,9.19,-1.58,2.89,0.06,-0.00,-0.03
748825,9.18,-1.62,2.98,0.03,-0.01,0.00
748838,9.18,-1.92,2.96,-0.02,-0.04,0.06
748851,9.20,-2.13,2.90,-0.04,-0.05,0.07
748864,9.22,-2.32,2.85,-0.06,-0.06,0.07
748877,9.26,-2.51,2.71,-0.06,-0.06,0.03
748890,9.26,-2.50,2.69,-0.04,-0.05,0.01
748903,9.26,-2.42,2.72,-0.00,-0.04,-0.02
748916,9.24,-2.06,2.80,0.03,-0.03,-0.05
748929,9.23,-1.96,2.79,0.03,-0.02,-0.05
748942,9.22,-1.94,2.79,0.02,-0.02,-0.04
748955,9.23,-2.03,2.81,0.01,-0.02,-0.03
748968,9.23,-2.07,2.81,0.01,-0.02,-0.02
748981,9.23,-2.02,2.82,0.03,-0.02,-0.01
748994,9.20,-1.98,2.91,0.03,-0.02,-0.01
749007,9.22,-1.92,2.84,-0.00,-0.03,0.01
749020,9.23,-2.04,2.79,-0.02,-0.03,0.02
749033,9.24,-2.09,2.81,-0.01,-0.02,0.02
749046,9.21,-1.99,2.95,0.02,-0.02,0.03
749059,9.20,-1.90,2.98,0.02,-0.03,0.03
749072,9.20,-1.90,2.98,-0.01,-0.04,0.04
749085,9.20,-1.99,2.91,-0.05,-0.06,0.05
749098,9.21,-2.12,2.86,-0.05,-0.07,0.06
749111,9.23,-2.21,2.76,-0.04,-0.07,0.06
749124,9.28,-2.54,2.60,-0.04,-0.07,0.05
749137,9.29,-2.62,2.53,-0.03,-0.06,0.02
749150,9.30,-2.64,2.47,-0.00,-0.05,-0.01
749163,9.27,-2.35,2.57,0.06,-0.01,-0.06
749176,9.24,-2.10,2.71,0.08,0.01,-0.08
749189,9.22,-1.90,2.83,0.10,0.02,-0.07
749202,9.16,-1.70,3.12,0.07,0.02,-0.04
749215,9.16,-1.60,3.15,0.04,0.00,-0.02
749228,9.15,-1.63,3.15,0.02,-0.02,0.01
749241,9.18,-1.70,3.01,-0.02,-0.04,0.06
749254,9.21,-1.84,2.84,-0.08,-0.08,0.09
749267,9.23,-2.08,2.73,-0.10,-0.08,0.11
749280,9.25,-2.54,2.59,-0.08,-0.08,0.11
749293,9.28,-2.72,2.56,-0.04,-0.05,0.08
749306,9.27,-2.78,2.59,-0.01,-0.03,0.05
749319,9.26,-2.79,2.66,0.02,-0.02,0.01
749332,9.23,-2.43,2.77,0.07,0.01,-0.07
749345,9.22,-2.23,2.82,0.08,0.01,-0.09
749358,9.21,-2.02,2.87,0.07,0.01,-0.10
749371,9.20,-1.78,2.90,0.04,-0.00,-0.08
749384,9.22,-1.72,2.89,0.02,-0.01,-0.06
749397,9.20,-1.67,2.91,0.01,-0.02,-0.03
749410,9.20,-1.76,2.87,-0.01,-0.03,0.03
749423,9.21,-1.88,2.86,-0.02,-0.04,0.05
749436,9.21,-2.05,2.86,-0.02,-0.04,0.07
749449,9.21,-2.26,2.89,-0.02,-0.04,0.07
749462,9.21,-2.29,2.88,-0.02,-0.04,0.06
749475,9.22,-2.35,2.86,-0.02,-0.04,0.05
749488,9.24,-2.34,2.76,-0.03,-0.05,0.01
749501,9.25,-2.30,2.69,-0.02,-0.04,-0.00
749514,9.24,-2.23,2.66,-0.01,-0.04,-0.02
749527,9.25,-2.09,2.72,0.02,-0.02,-0.02
749540,9.25,-2.09,2.77,0.03,-0.01,-0.02
749553,9.24,-2.06,2.81,0.03,-0.01,-0.02
749566,9.18,-1.94,2.95,0.04,-0.00,-0.01
749579,9.18,-1.90,2.99,0.05,-0.01,0.01
749592,9.19,-1.95,2.98,0.02,-0.02,0.02
749605,9.18,-2.09,2.90,-0.01,-0.03,0.03
749618,9.22,-2.28,2.83,-0.04,-0.05,0.03
749631,9.25,-2.26,2.77,-0.02,-0.05,0.02
749644,9.25,-2.26,2.71,-0.02,-0.05,0.02
749657,9.25,-2.20,2.67,-0.02,-0.04,-0.00
749670,9.24,-2.23,2.73,-0.00,-0.02,-0.01
749683,9.23,-2.25,2.79,0.02,-0.01,-0.01
749696,9.20,-2.17,2.87,0.05,0.00,-0.03
749709,9.19,-2.11,2.96,0.05,-0.00,-0.03
749722,9.19,-2.06,2.96,0.05,-0.01,-0.03
749735,9.20,-2.09,2.83,0.00,-0.03,-0.02
749748,9.21,-2.16,2.79,-0.02,-0.03,-0.02
749761,9.23,-2.20,2.73,-0.02,-0.03,-0.01
749774,9.25,-2.29,2.73,0.01,-0.02,-0.02
749787,9.25,-2.25,2.80,0.02,-0.01,-0.03
749800,9.22,-2.11,2.85,0.03,-0.01,-0.04
749813,9.21,-1.85,2.99,0.04,-0.01,-0.04
749826,9.19,-1.70,2.97,0.03,-0.02,-0.03
749839,9.19,-1.72,2.96,0.00,-0.03,-0.01
749852,9.22,-1.86,2.89,-0.02,-0.04,0.03
749865,9.21,-1.95,2.83,-0.04,-0.05,0.05
749878,9.22,-2.11,2.78,-0.03,-0.05,0.06
749891,9.24,-2.24,2.73,-0.03,-0.05,0.06
749904,9.25,-2.34,2.75,-0.02,-0.04,0.04
749917,9.24,-2.29,2.78,-0.00,-0.03,0.02
749930,9.21,-2.22,2.84,0.01,-0.02,0.01
749943,9.20,-2.05,2.92,0.01,-0.02,0.00
749956,9.19,-2.05,2.96,0.00,-0.03,0.00
749969,9.19,-2.00,2.99,-0.01,-0.03,0.01
749982,9.19,-1.93,2.95,-0.03,-0.06,0.03
749995,9.19,-1.92,2.86,-0.04,-0.07,0.04
750008,9.23,-2.03,2.75,-0.06,-0.07,0.06
750021,9.27,-2.46,2.57,-0.07,-0.06,0.06
750034,9.27,-2.63,2.58,-0.03,-0.04,0.04
750047,9.27,-2.65,2.66,0.01,-0.02,0.01
750060,9.21,-2.31,2.87,0.07,0.00,-0.05
750073,9.21,-2.09,2.94,0.05,-0.01,-0.06
750086,9.20,-1.92,2.94,0.03,-0.01,-0.06
750099,9.20,-1.81,2.88,-0.01,-0.03,-0.03
750112,9.21,-1.83,2.84,-0.01,-0.03,-0.01
750125,9.20,-1.93,2.85,-0.01,-0.04,0.02
750138,9.22,-2.10,2.84,-0.01,-0.04,0.04
750151,9.22,-2.19,2.80,-0.03,-0.04,0.04
750164,9.24,-2.31,2.78,-0.03,-0.04,0.04
750177,9.24,-2.32,2.75,-0.02,-0.04,0.02
750190,9.23,-2.30,2.76,0.00,-0.03,-0.00
750203,9.23,-2.27,2.77,0.01,-0.02,-0.01
750216,9.22,-2.22,2.79,0.02,-0.02,-0.02
750229,9.22,-2.17,2.82,0.02,-0.01,-0.03
750242,9.22,-2.15,2.83,0.02,-0.01,-0.03
750255,9.20,-2.14,2.85,0.02,-0.01,-0.04
750268,9.20,-1.95,2.89,0.02,-0.02,-0.03
750281,9.21,-1.93,2.87,0.01,-0.03,-0.02
750294,9.21,-1.95,2.85,-0.00,-0.03,-0.00
750307,9.23,-2.11,2.81,-0.01,-0.03,0.01
750320,9.24,-2.11,2.84,0.00,-0.03,0.01
750333,9.21,-2.04,2.84,0.01,-0.03,0.02
750346,9.21,-2.13,2.82,-0.01,-0.03,0.02
750359,9.23,-2.20,2.77,-0.02,-0.03,0.02
750372,9.24,-2.33,2.75,-0.02,-0.03,0.01
750385,9.22,-2.31,2.87,0.03,-0.02,-0.01
750398,9.21,-2.10,2.90,0.04,-0.02,-0.02
750411,9.20,-1.97,2.88,0.03,-0.03,-0.02
750424,9.21,-1.92,2.85,-0.01,-0.03,-0.00
750437,9.21,-1.97,2.85,-0.02,-0.04,0.01
750450,9.23,-2.07,2.82,-0.01,-0.04,0.02
750463,9.23,-2.21,2.81,0.00,-0.03,0.03
750476,9.21,-2.24,2.85,0.01,-0.03,0.02
750489,9.21,-2.22,2.85,0.00,-0.03,0.01
750502,9.22,-2.23,2.80,0.00,-0.03,-0.00
750515,9.22,-2.18,2.79,0.01,-0.03,-0.01
750528,9.21,-2.17,2.81,0.02,-0.02,-0.02
750541,9.23,-2.12,2.82,0.03,-0.02,-0.01
750554,9.20,-2.01,2.87,0.03,-0.02,-0.01
750567,9.20,-1.92,2.86,0.01,-0.03,-0.01
750580,9.20,-1.90,2.86,0.00,-0.03,0.01
750593,9.21,-2.05,2.86,-0.02,-0.03,0.03
750606,9.21,-2.15,2.84,-0.02,-0.03,0.03
750619,9.22,-2.28,2.83,-0.02,-0.03,0.03
750632,9.21,-2.29,2.84,0.01,-0.03,0.01
750645,9.21,-2.20,2.88,0.02,-0.03,-0.00
750658,9.20,-2.12,2.89,0.01,-0.03,-0.01
750671,9.23,-2.11,2.75,-0.02,-0.04,-0.00
750684,9.24,-2.16,2.77,-0.02,-0.03,-0.00
750697,9.24,-2.15,2.78,-0.00,-0.03,-0.00
750710,9.23,-2.08,2.84,0.03,-0.02,-0.00
750723,9.23,-2.03,2.87,0.02,-0.02,-0.00
750736,9.20,-2.00,2.88,0.01,-0.02,0.00
750749,9.21,-2.07,2.89,-0.00,-0.03,0.01
750762,9.21,-2.11,2.86,-0.00,-0.03,0.02
750775,9.21,-2.17,2.84,-0.00,-0.04,0.02
750788,9.22,-2.26,2.80,-0.01,-0.04,0.02
750801,9.23,-2.29,2.77,-0.00,-0.03,0.01
750814,9.24,-2.33,2.76,0.00,-0.03,-0.00
750827,9.22,-2.26,2.78,0.01,-0.02,-0.02
750840,9.21,-1.98,2.89,0.03,-0.02,-0.03
750853,9.20,-1.86,2.91,0.02,-0.02,-0.02
750866,9.20,-1.84,2.89,0.01,-0.03,-0.00
750879,9.18,-2.01,2.90,-0.02,-0.04,0.03
750892,9.21,-2.12,2.84,-0.02,-0.04,0.04
750905,9.23,-2.27,2.81,-0.02,-0.04,0.04
750918,9.23,-2.36,2.78,-0.01,-0.04,0.02
750931,9.23,-2.34,2.76,-0.01,-0.03,0.00
750944,9.24,-2.30,2.75,0.01,-0.03,-0.01
750957,9.23,-2.15,2.82,0.02,-0.02,-0.03
750970,9.22,-2.08,2.85,0.02,-0.02,-0.03
750983,9.20,-1.97,2.89,0.02,-0.02,-0.03
750996,9.20,-1.86,2.90,0.01,-0.03,-0.00
751009,9.21,-1.89,2.85,-0.01,-0.03,0.01
751022,9.22,-2.06,2.79,-0.02,-0.04,0.03
751035,9.23,-2.36,2.81,-0.03,-0.03,0.03
751048,9.21,-2.32,2.83,0.01,-0.03,0.02
751061,9.21,-2.27,2.84,0.02,-0.03,0.01
751074,9.22,-2.13,2.85,0.02,-0.03,-0.00
751087,9.22,-2.09,2.82,-0.01,-0.03,-0.01
751100,9.21,-2.09,2.82,-0.01,-0.03,-0.01
