3,-4.07,4.56,0.02,-0.05,0.07
585579,7.73,-4.17,4.56,0.01,-0.05,0.07
585592,7.76,-4.28,4.50,-0.01,-0.06,0.07
585605,7.76,-4.30,4.48,-0.01,-0.05,0.06
585618,7.78,-4.34,4.46,-0.02,-0.05,0.05
585631,7.77,-4.37,4.49,-0.03,-0.04,0.02
585644,7.77,-4.36,4.45,-0.03,-0.04,0.01
585657,7.79,-4.32,4.41,-0.01,-0.03,-0.01
585670,7.76,-4.21,4.42,0.03,-0.01,-0.02
585683,7.74,-4.12,4.47,0.05,-0.00,-0.01
585696,7.73,-4.02,4.52,0.05,0.00,-0.01
585709,7.74,-4.05,4.57,-0.00,-0.00,0.01
585722,7.73,-4.13,4.61,-0.03,-0.01,0.02
585735,7.76,-4.19,4.61,-0.03,-0.02,0.03
585748,7.77,-4.21,4.53,-0.04,-0.04,0.02
585761,7.75,-4.14,4.52,-0.01,-0.04,0.02
585774,7.75,-4.10,4.50,-0.01,-0.04,0.03
585787,7.72,-4.10,4.54,-0.01,-0.04,0.03
585800,7.72,-4.19,4.50,-0.01,-0.03,0.05
585813,7.72,-4.26,4.51,0.01,-0.03,0.06
585826,7.70,-4.38,4.51,0.02,-0.03,0.06
585839,7.72,-4.39,4.57,0.04,-0.03,0.04
585852,7.74,-4.28,4.51,0.04,-0.03,0.03
585865,7.72,-4.28,4.58,0.02,-0.03,0.02
585878,7.76,-4.23,4.50,-0.00,-0.04,0.01
585891,7.75,-4.26,4.52,-0.01,-0.04,0.01
585904,7.76,-4.25,4.48,-0.02,-0.05,0.00
585917,7.75,-4.24,4.46,-0.01,-0.05,0.00
585930,7.73,-4.20,4.47,0.00,-0.04,0.00
585943,7.72,-4.16,4.46,0.02,-0.04,0.01
585956,7.71,-4.18,4.51,0.01,-0.03,0.02
585969,7.71,-4.20,4.49,-0.00,-0.03,0.03
585982,7.73,-4.22,4.50,-0.01,-0.03,0.03
585995,7.73,-4.37,4.59,-0.00,-0.04,0.03
586008,7.75,-4.46,4.54,-0.01,-0.04,0.01
586021,7.76,-4.39,4.48,-0.00,-0.05,-0.00
586034,7.75,-4.09,4.46,0.01,-0.04,-0.02
586047,7.73,-3.98,4.45,0.01,-0.04,-0.01
586060,7.71,-4.12,4.56,-0.01,-0.04,0.00
586073,7.74,-4.45,4.38,-0.03,-0.04,0.00
586086,7.74,-4.37,4.39,0.03,-0.02,-0.01
586099,7.71,-4.16,4.47,0.07,-0.01,-0.00
586112,7.71,-4.07,4.57,0.07,-0.00,0.00
586125,7.73,-4.38,4.62,-0.03,-0.01,0.00
586138,7.74,-4.48,4.60,-0.05,-0.02,-0.01
586151,7.75,-4.41,4.55,-0.02,-0.03,-0.02
586164,7.73,-4.02,4.56,0.04,-0.04,-0.03
586177,7.73,-3.92,4.53,0.01,-0.04,-0.02
586190,7.73,-4.02,4.49,-0.04,-0.05,-0.00
586203,7.74,-4.23,4.44,-0.07,-0.04,0.01
586216,7.73,-4.26,4.46,-0.04,-0.03,0.01
586229,7.72,-4.24,4.45,-0.02,-0.03,0.01
586242,7.73,-4.37,4.52,-0.03,-0.02,0.01
586255,7.74,-4.39,4.53,-0.03,-0.02,-0.00
586268,7.75,-4.34,4.53,-0.01,-0.02,-0.01
586281,7.74,-4.27,4.56,0.01,-0.03,-0.02
586294,7.74,-4.21,4.55,-0.01,-0.04,-0.02
586307,7.74,-4.17,4.55,-0.02,-0.04,-0.02
586320,7.73,-4.11,4.46,-0.04,-0.05,-0.01
586333,7.72,-4.12,4.45,-0.04,-0.05,-0.00
586346,7.71,-4.11,4.46,-0.04,-0.04,0.01
586359,7.72,-4.35,4.44,-0.03,-0.04,0.03
586372,7.77,-4.70,4.34,-0.03,-0.03,0.02
586385,7.78,-4.97,4.37,0.02,-0.02,-0.01
586398,7.79,-4.80,4.44,0.12,-0.01,-0.05
586411,7.77,-4.41,4.53,0.32,0.01,-0.12
586424,7.73,-3.93,4.70,0.32,0.00,-0.14
586437,7.72,-3.49,4.66,0.24,-0.01,-0.13
586450,7.74,-3.58,4.52,-0.02,-0.04,-0.08
586463,7.74,-3.71,4.52,-0.09,-0.04,-0.04
586476,7.73,-3.77,4.53,-0.09,-0.04,-0.01
586489,7.78,-4.00,4.47,-0.06,-0.04,0.04
586502,7.79,-4.10,4.56,-0.05,-0.03,0.06
586515,7.76,-4.29,4.55,-0.06,-0.03,0.06
586528,7.78,-4.40,4.50,-0.03,-0.03,0.03
586541,7.76,-4.32,4.54,-0.01,-0.03,0.02
586554,7.78,-4.35,4.56,-0.01,-0.03,0.00
586567,7.76,-4.32,4.51,-0.01,-0.04,-0.02
586580,7.75,-4.23,4.45,0.00,-0.04,-0.03
586593,7.77,-4.05,4.46,0.03,-0.03,-0.03
586606,7.73,-4.02,4.59,0.00,-0.03,-0.01
586619,7.74,-4.21,4.56,-0.04,-0.03,-0.00
586632,7.78,-4.31,4.52,-0.05,-0.03,-0.01
586645,7.78,-4.26,4.48,0.01,-0.03,-0.01
586658,7.83,-4.32,4.48,0.03,-0.03,-0.02
586671,7.72,-4.37,4.52,0.05,-0.02,-0.03
586684,7.76,-4.28,4.56,0.07,-0.03,-0.04
586697,7.78,-4.10,4.58,0.12,-0.03,-0.06
586710,7.72,-3.88,4.58,0.10,-0.03,-0.06
586723,7.74,-3.82,4.51,0.04,-0.04,-0.05
586736,7.79,-3.99,4.48,-0.07,-0.04,-0.03
586749,7.78,-4.06,4.45,-0.07,-0.04,-0.02
586762,7.79,-4.14,4.46,-0.06,-0.03,-0.01
586775,7.79,-4.09,4.51,-0.04,-0.02,-0.00
586788,7.79,-4.11,4.54,-0.04,-0.02,-0.00
586801,7.79,-4.12,4.53,-0.03,-0.02,-0.00
586814,7.76,-4.14,4.58,0.00,-0.03,0.00
586827,7.78,-4.08,4.55,0.02,-0.03,0.01
586840,7.77,-4.00,4.57,0.03,-0.03,0.01
586853,7.77,-4.07,4.56,-0.03,-0.04,0.02
586866,7.76,-4.14,4.54,-0.05,-0.05,0.02
586879,7.78,-4.16,4.53,-0.06,-0.05,0.02
586892,7.79,-4.23,4.44,-0.05,-0.04,0.02
586905,7.80,-4.32,4.43,-0.04,-0.04,0.02
586918,7.82,-4.37,4.45,-0.02,-0.03,0.01
586931,7.78,-4.18,4.55,0.04,-0.03,-0.01
586944,7.79,-4.10,4.51,0.03,-0.03,-0.02
586957,7.78,-4.02,4.51,0.00,-0.03,-0.02
586970,7.77,-3.98,4.52,-0.02,-0.03,-0.00
586983,7.78,-4.03,4.48,-0.05,-0.04,0.01
586996,7.77,-4.06,4.49,-0.04,-0.04,0.02
587009,7.78,-4.17,4.48,-0.04,-0.04,0.03
587022,7.79,-4.27,4.48,-0.02,-0.03,0.03
587035,7.79,-4.33,4.45,-0.01,-0.03,0.03
587048,7.80,-4.37,4.44,0.00,-0.03,0.02
587061,7.80,-4.37,4.47,0.03,-0.02,-0.01
587074,7.80,-4.25,4.49,0.04,-0.02,-0.03
587087,7.77,-4.18,4.51,0.05,-0.02,-0.04
587100,7.77,-4.00,4.55,0.04,-0.02,-0.03
587113,7.78,-4.01,4.55,0.03,-0.02,-0.03
587126,7.77,-4.02,4.55,0.02,-0.03,-0.02
587139,7.78,-4.08,4.47,0.00,-0.03,-0.00
587152,7.79,-4.17,4.48,-0.00,-0.03,-0.00
587165,7.79,-4.23,4.48,-0.00,-0.02,-0.00
587178,7.80,-4.35,4.46,-0.01,-0.02,-0.02
587191,7.81,-4.36,4.46,-0.02,-0.01,-0.04
587204,7.81,-4.35,4.48,-0.02,-0.01,-0.06
587217,7.77,-3.86,4.60,0.04,-0.01,-0.07
587230,7.72,-3.35,4.74,0.09,-0.01,-0.04
587243,7.69,-2.99,4.88,0.10,-0.03,0.02
587256,7.77,-3.92,4.56,0.02,-0.09,0.13
587269,7.85,-4.84,4.25,-0.27,-0.10,0.13
587282,7.90,-5.50,4.23,-0.27,-0.08,0.08
587295,7.89,-5.48,4.08,-0.24,-0.06,0.01
587308,7.86,-5.01,4.19,0.20,0.04,-0.17
587321,7.81,-4.48,4.51,0.36,0.08,-0.24
587334,7.76,-3.98,4.73,0.36,0.08,-0.26
587347,7.75,-3.37,4.76,0.15,0.03,-0.23
587360,7.75,-3.25,4.75,0.08,0.01,-0.19
587373,7.77,-3.36,4.74,-0.02,-0.00,-0.15
587386,7.82,-4.04,4.61,-0.15,-0.02,-0.10
587399,7.88,-4.07,4.36,-0.13,-0.03,-0.10
587412,7.86,-4.08,4.46,-0.05,-0.01,-0.10
587425,7.81,-3.52,4.72,0.10,0.00,-0.07
587438,7.79,-3.30,4.78,0.07,-0.01,-0.04
587451,7.80,-3.36,4.75,-0.01,-0.03,0.00
587464,7.85,-3.90,4.48,-0.13,-0.05,0.05
587477,7.86,-4.12,4.42,-0.11,-0.04,0.06
587490,7.86,-4.16,4.43,-0.07,-0.03,0.06
587503,7.84,-4.11,4.50,-0.01,-0.01,0.05
587516,7.83,-4.22,4.55,-0.01,-0.01,0.04
587529,7.82,-4.29,4.60,-0.01,-0.01,0.02
587542,7.84,-4.27,4.59,0.01,-0.02,-0.02
587555,7.83,-4.17,4.61,0.02,-0.02,-0.04
587568,7.82,-4.08,4.62,0.02,-0.02,-0.06
587581,7.81,-3.83,4.64,0.01,-0.03,-0.06
587594,7.82,-3.72,4.64,0.02,-0.04,-0.05
587607,7.81,-3.70,4.58,0.00,-0.05,-0.03
587620,7.81,-3.66,4.54,-0.02,-0.05,-0.01
587633,7.85,-3.76,4.48,-0.07,-0.06,0.03
587646,7.83,-3.83,4.49,-0.09,-0.05,0.04
587659,7.84,-3.94,4.48,-0.09,-0.05,0.05
587672,7.87,-4.15,4.43,-0.08,-0.04,0.05
587685,7.85,-4.16,4.50,-0.05,-0.03,0.05
587698,7.84,-4.16,4.57,-0.04,-0.02,0.04
587711,7.83,-4.09,4.55,-0.05,-0.03,0.02
587724,7.83,-4.05,4.58,-0.04,-0.03,0.01
587737,7.82,-3.98,4.58,-0.04,-0.04,0.01
587750,7.82,-3.89,4.48,-0.03,-0.04,0.02
587763,7.84,-3.89,4.51,-0.04,-0.04,0.03
587776,7.83,-3.97,4.52,-0.06,-0.04,0.04
587789,7.83,-4.06,4.48,-0.05,-0.04,0.05
587802,7.82,-4.07,4.54,-0.03,-0.04,0.05
587815,7.83,-4.05,4.55,-0.02,-0.04,0.05
587828,7.82,-4.07,4.47,-0.03,-0.05,0.06
587841,7.83,-4.08,4.46,-0.03,-0.05,0.06
587854,7.84,-4.12,4.45,-0.03,-0.04,0.05
587867,7.82,-4.16,4.50,-0.03,-0.04,0.05
587880,7.81,-4.12,4.50,-0.03,-0.04,0.04
587893,7.81,-4.15,4.49,-0.03,-0.04,0.04
587906,7.81,-4.10,4.52,-0.02,-0.04,0.04
587919,7.80,-4.08,4.51,-0.02,-0.05,0.04
587932,7.82,-4.11,4.46,-0.03,-0.05,0.04
587945,7.82,-4.19,4.42,-0.04,-0.05,0.04
587958,7.83,-4.20,4.38,-0.01,-0.04,0.04
587971,7.82,-4.22,4.41,-0.00,-0.04,0.03
587984,7.81,-4.19,4.44,0.01,-0.03,0.03
587997,7.82,-4.19,4.45,0.01,-0.03,0.02
588010,7.80,-4.22,4.45,0.01,-0.03,0.02
588023,7.81,-4.24,4.42,0.01,-0.03,0.02
588036,7.82,-4.24,4.39,0.01,-0.03,0.00
588049,7.82,-4.22,4.36,0.01,-0.02,-0.00
588062,7.82,-4.19,4.42,0.02,-0.01,-0.00
588075,7.80,-4.07,4.50,0.03,-0.01,-0.00
588088,7.80,-4.08,4.51,0.03,-0.01,0.00
588101,7.79,-4.08,4.56,0.02,-0.02,0.00
588114,7.77,-4.03,4.57,-0.01,-0.03,0.01
588127,7.79,-4.09,4.54,-0.03,-0.04,0.02
588140,7.79,-4.12,4.50,-0.04,-0.04,0.02
588153,7.81,-4.14,4.42,-0.03,-0.05,0.03
588166,7.79,-4.11,4.40,-0.01,-0.04,0.03
588179,7.80,-4.07,4.43,-0.01,-0.04,0.04
588192,7.80,-4.18,4.43,-0.02,-0.04,0.04
588205,7.82,-4.25,4.39,-0.05,-0.04,0.04
588218,7.84,-4.34,4.37,-0.04,-0.03,0.03
588231,7.79,-4.39,4.48,-0.02,-0.02,0.03
588244,7.80,-4.31,4.50,0.03,-0.02,0.00
588257,7.79,-4.19,4.50,0.03,-0.02,-0.01
588270,7.79,-4.09,4.49,0.02,-0.03,-0.01
588283,7.77,-4.12,4.47,-0.01,-0.04,-0.00
588296,7.80,-4.20,4.41,-0.02,-0.04,0.00
588309,7.82,-4.20,4.37,-0.01,-0.03,0.00
588322,7.80,-4.14,4.35,0.02,-0.02,0.01
588335,7.78,-4.08,4.42,0.03,-0.01,0.01
588348,7.79,-4.19,4.46,0.01,-0.01,0.02
588361,7.79,-4.38,4.49,0.00,-0.01,0.00
588374,7.79,-4.33,4.53,0.03,-0.01,-0.01
588387,7.76,-4.23,4.56,0.04,-0.01,-0.02
588400,7.77,-4.10,4.55,0.03,-0.03,-0.02
588413,7.76,-4.06,4.54,0.01,-0.03,-0.02
588426,7.77,-4.07,4.51,-0.00,-0.04,-0.02
588439,7.80,-4.06,4.45,-0.00,-0.04,0.00
588452,7.80,-4.08,4.45,0.00,-0.04,0.01
588465,7.80,-4.16,4.41,-0.00,-0.04,0.01
588478,7.80,-4.27,4.42,0.00,-0.03,0.01
588491,7.81,-4.28,4.41,0.01,-0.03,0.01
588504,7.79,-4.24,4.45,0.02,-0.02,-0.00
588517,7.80,-4.20,4.50,0.03,-0.02,-0.01
588530,7.78,-4.14,4.53,0.02,-0.02,-0.01
588543,7.78,-4.13,4.49,0.01,-0.02,-0.01
588556,7.78,-4.14,4.50,0.00,-0.02,-0.01
588569,7.79,-4.16,4.46,0.01,-0.02,-0.00
588582,7.80,-4.13,4.48,0.02,-0.02,-0.00
588595,7.79,-4.12,4.51,0.02,-0.02,0.00
588608,7.78,-4.13,4.55,0.02,-0.03,0.00
588621,7.78,-4.10,4.56,0.02,-0.03,0.01
588634,7.80,-4.15,4.50,0.01,-0.03,0.01
588647,7.79,-4.19,4.50,0.00,-0.03,0.01
588660,7.79,-4.25,4.47,-0.01,-0.03,0.00
588673,7.80,-4.28,4.46,-0.00,-0.03,-0.00
588686,7.80,-4.15,4.46,0.01,-0.03,-0.01
588699,7.79,-4.05,4.49,0.01,-0.02,-0.01
588712,7.77,-4.07,4.51,0.01,-0.02,-0.01
588725,7.82,-4.19,4.46,-0.00,-0.03,-0.01
588738,7.80,-4.16,4.42,0.02,-0.03,-0.00
588751,7.79,-4.09,4.45,0.03,-0.02,-0.00
588764,7.78,-3.90,4.51,0.03,-0.02,0.01
588777,7.76,-4.07,4.62,-0.03,-0.02,0.02
588790,7.78,-4.25,4.59,-0.05,-0.03,0.02
588803,7.79,-4.33,4.53,-0.04,-0.04,0.02
588816,7.79,-4.14,4.50,0.03,-0.04,0.00
588829,7.78,-4.07,4.49,0.02,-0.04,-0.00
588842,7.79,-4.19,4.46,-0.01,-0.05,0.00
588855,7.81,-4.22,4.39,-0.00,-0.04,-0.01
588868,7.81,-4.12,4.40,0.03,-0.03,-0.01
588881,7.79,-4.01,4.44,0.05,-0.02,-0.00
588894,7.78,-4.07,4.53,0.00,-0.02,0.01
588907,7.78,-4.16,4.57,-0.02,-0.02,0.01
588920,7.78,-4.20,4.53,-0.02,-0.03,0.01
588933,7.79,-4.18,4.50,0.01,-0.03,0.01
588946,7.78,-4.14,4.53,0.01,-0.03,0.01
588959,7.78,-4.13,4.52,-0.01,-0.04,0.01
588972,7.79,-4.22,4.46,-0.03,-0.04,0.00
588985,7.79,-4.28,4.44,-0.03,-0.04,-0.00
588998,7.79,-4.27,4.43,-0.01,-0.03,-0.00
589011,7.79,-4.10,4.46,0.03,-0.02,-0.01
589024,7.79,-4.06,4.47,0.03,-0.02,-0.01
589037,7.78,-4.05,4.52,0.02,-0.02,-0.00
589050,7.79,-4.13,4.47,0.00,-0.03,0.01
589063,7.79,-4.22,4.47,-0.00,-0.03,0.01
589076,7.79,-4.22,4.47,0.01,-0.02,0.00
589089,7.78,-4.14,4.49,0.02,-0.02,0.00
589102,7.79,-4.17,4.51,0.01,-0.02,-0.00
589115,7.79,-4.20,4.51,0.00,-0.02,-0.00
589128,7.79,-4.19,4.55,-0.00,-0.02,-0.01
589141,7.79,-4.09,4.55,0.01,-0.02,-0.01
589154,7.76,-4.09,4.56,0.01,-0.03,-0.01
589167,7.77,-4.03,4.53,0.01,-0.03,-0.00
589180,7.79,-4.11,4.49,-0.00,-0.04,0.01
589193,7.78,-4.09,4.49,0.00,-0.04,0.01
589206,7.79,-4.07,4.46,0.01,-0.04,0.02
589219,7.79,-4.19,4.46,-0.01,-0.03,0.03
589232,7.80,-4.23,4.46,-0.01,-0.03,0.02
589245,7.79,-4.24,4.50,-0.01,-0.03,0.02
589258,7.78,-4.19,4.58,0.01,-0.03,0.01
589271,7.76,-4.12,4.60,0.00,-0.04,0.00
589284,7.74,-4.18,4.55,-0.02,-0.05,0.00
589297,7.76,-4.13,4.50,-0.01,-0.05,0.00
589310,7.79,-4.14,4.42,-0.01,-0.05,0.00
